cid_value,country_value,region_value,rating_value
"3715278914","India","Asia Pacific","AdWords Business Global Winner"
"8150992559","United States","Americas","AdWords Business Regional Winner Americas"
"5053993634","India","Asia Pacific","AdWords Business Regional Winner Asia Pacific"
"2172973789","Germany","Europe","AdWords Business Regional Winner Europe"
"2867969089","Turkey","Middle East and Africa","AdWords Business Regional Winner Middle East and Africa"
"----------------","----------------","----------------","----------------"
"5770664389","Lithuania","Europe","Google+ Social Media Marketing Global Winner"
"7022164718","Canada","Americas","Google+ Social Media Marketing Regional Winner Americas"
"5279343661","India","Asia Pacific","Google+ Social Media Marketing Regional Winner Asia and Pacific"
"2177142438","France","Europe","Google+ Social Media Marketing Regional Winner Europe"
"4923669483","Nigeria","Middle East and Africa","Google+ Social Media Marketing Regional Winner Middle East and Africa"
"----------------","----------------","----------------","----------------"
"7022164718","Canada","Americas","AdWords Social Impact Award 1st Place Winner"
"8150992559","United States","Americas","AdWords Social Impact Award 2nd Place Winner"
"8616364210","United States","Americas","AdWords Social Impact Award 3rd Place Winner"
"----------------","----------------","----------------","----------------"
"5980232567","France","Europe","AdWords Business Finalist"
"8013970957","Canada","Americas","AdWords Business Finalist"
"3606992422","Spain","Europe","AdWords Business Finalist"
"1463469553","France","Europe","AdWords Business Finalist"
"5919928081","France","Europe","AdWords Business Finalist"
"7790545430","Canada","Americas","AdWords Business Finalist"
"4010790461","Canada","Americas","AdWords Business Finalist"
"2710198822","Canada","Americas","AdWords Business Finalist"
"7105428918","Nigeria","Middle East and Africa","AdWords Business Finalist"
"9572905279","Nigeria","Middle East and Africa","AdWords Business Finalist"
"5279343661","India","Asia Pacific","AdWords Business Finalist"
"7612317767","Nigeria","Middle East and Africa","AdWords Business Finalist"
"7916916551","India","Asia Pacific","AdWords Business Finalist"
"2531143669","Nigeria","Middle East and Africa","AdWords Business Finalist"
"9643944408","India","Asia Pacific","AdWords Business Finalist"
"4804102677","Germany","Europe","AdWords Business Semi-Finalist"
"3581101981","Bulgaria","Europe","AdWords Business Semi-Finalist"
